ec_id,Division,Polling Place Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,state,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise Latitude,Premise Longitude,Premise Name
,Braddon,Wesley Vale,20 Westwind Dr,,Wesley Vale,TAS,7307,Bottom classroom,,Assistance,,-41.1887792,146.4562247,Andrews Creek Primary School
,Braddon,West Ulverstone,34 Maud St,,West Ulverstone,TAS,7315,Hall,Josephine St entrance,Assistance,,-41.14851,146.15899,West Ulverstone Primary School
,Braddon,Wivenhoe,Stowport Rd,,Wivenhoe,TAS,7320,Multipurpose hall,Car park via Hull St ,Assistance,,-41.06907,145.93613,Wivenhoe Campus Leighland Christian School
,Braddon,Wynyard West,30 Church St,,Wynyard,TAS,7325,Student centre,,Assistance,,-40.98684,145.71684,Wynyard High School
,Braddon,Wynyard Central,28 Jackson St,,Wynyard,TAS,7325,Entrance foyer,,Assistance,,-40.99088,145.72865,Wynyard Senior Citizens Clubrooms
,Braddon,Yolla,School La,,Yolla,TAS,7325,Classroom D1,,Assistance,,-41.12363,145.71977,Yolla District High School
,Braddon,Zeehan,7 Belstead St,,Zeehan,TAS,7469,Stadium,,Assistance,,-41.88794,145.33998,Zeehan Primary School
,Clark,Austins Ferry,195 Main Rd,,Austins Ferry,TAS,7011,Edmund Rice Hall,,None,,-42.77386,147.25087,St Virgil's College
,Clark,Battery Point West,Albuera St,,Battery Point,TAS,7004,Multipurpose room,,Assistance,,-42.89108,147.32598,Albuera Street Primary School
,Clark,Battery Point,28 Cromwell St,,Battery Point,TAS,7004,Parish Hall,Access from 30 Cromwell St,Assistance,,-42.89152,147.33268,St George's Church Hall
,Clark,Chigwell,10 Bucaan St,,Chigwell,TAS,7011,,,Assistance,,-42.81133,147.24084,Chigwell Barn
,Clark,Roseneath,16A Cammeray Rd,,Claremont,TAS,7011,,,Assistance,,-42.78521,147.24012,Austins Ferry Primary School
,Clark,Claremont,61 Claremont Link Rd,,Claremont,TAS,7011,Gymnasium,,Assistance,,-42.79416018,147.2497183,Claremont College
,Clark,Windermere,2 Cadbury Rd,,Claremont,TAS,7011,Multipurpose room,,Full,,-42.79934,147.25846,Windermere Primary School
,Clark,Collinsvale,508 Collinsvale Rd,,Collinsvale,TAS,7012,General purpose room,,Assistance,,-42.83696,147.19837,Collinsvale Primary School
,Clark,Glenorchy Central,286-294 Main Rd,,Glenorchy,TAS,7010,,Access from Felicity Lane,Assistance,,-42.8365061,147.283187,Cosgrove High School
,Clark,Goodwood,454/458 Brooker Hwy,,Derwent Park,TAS,7009,Gymnasium,,Assistance,,-42.83189,147.29333,Goodwood Primary School
,Clark,Dynnyrne,Randall St,,Sandy Bay,TAS,7005,Hall,Lord St entrance,Assistance,,-42.89913,147.31855,Princes Street Primary School
,Clark,Fern Tree,8 Stephenson Pl,,Fern Tree,TAS,7054,,,Assistance,,-42.922346,147.260859,Fern Tree Community Centre
,Clark,Glenorchy,Kensington St,,Glenorchy,TAS,7010,Gymnasium,Access from Hull St,Assistance,,-42.830908,147.267619,Glenorchy Primary School
,Clark,Merton,148 Tolosa St,,Glenorchy,TAS,7010,,,Assistance,,-42.84555,147.26505,Tolosa Hall
,Clark,Hobart City,57-63 Macquarie St,,Hobart,TAS,7000,Main ballroom floor,,Assistance,1,-42.88072266,147.3318282,Hobart City Hall
,Clark,West Hobart,Cnr Brisbane and Harrington Sts,,Hobart,TAS,7000,St Mary's College,,Assistance,,-42.88159,147.32031,St Peter's Hall
,Clark,Lenah Valley,11 Creek Rd,,Lenah Valley,TAS,7008,Hall,Access from Colebrook St,Assistance,,-42.861704,147.291106,Lenah Valley Primary School
,Clark,Moonah East,35 Bowen Rd,,Moonah,TAS,7009,Gymnasium,,Assistance,,-42.8472392,147.3072554,Bowen Road Primary School
,Clark,Moonah,7 Gormanston Rd,,Moonah,TAS,7009,Gymnasium/court,,Assistance,,-42.84612742,147.2997299,Moonah Community Centre
,Clark,Moonah North,40 Derwent Park Rd,,Derwent Park,TAS,7009,Hall,,Assistance,,-42.83843,147.29633,Moonah Primary School
,Clark,Mount Nelson,388 Nelson Rd,,Mount Nelson,TAS,7007,Hall,,Assistance,,-42.91353,147.32305,Mt Nelson Primary School
,Clark,Mount Stuart,106 Gillon Cres,,Mount Stuart,TAS,7000,General purpose room,,Assistance,,-42.87507,147.29906,Mt Stuart Primary School
,Clark,New Town West,2 Cross St,,New Town,TAS,7008,Mackillop Court,,None,,-42.86136,147.30396,Sacred Heart College
,Clark,New Town,395 Argyle St,,North Hobart,TAS,7000,The Farrall Centre,Access from 393 Argyle St,Assistance,,-42.865999,147.313782,The Friends' School
,Clark,North Hobart Central,Swan St,,North Hobart,TAS,7000,Cross/Hopkins Room,,Assistance,,-42.87271,147.31425,Hobart North Uniting Church
,Clark,Rosetta,865 Brooker Ave,,Rosetta,TAS,7010,Gymnasium,"Access from Foreshore Rd, Glenorchy",Assistance,,-42.819487,147.265325,Montrose Bay High School
,Clark,Sandy Bay Beach,1 Southerwood Dr,,Sandy Bay,TAS,7005,,,Assistance,,-42.91389,147.35476,Harold Gregg Centre (Sandown Village)
,Clark,Lower Sandy Bay,568 Sandy Bay Rd,,Sandy Bay,TAS,7005,General purpose hall,,Assistance,,-42.909612,147.349511,Sandy Bay Infant School
,Clark,Waimea Heights,12 Balfour Ct,,Sandy Bay,TAS,7005,General purpose room,,Assistance,,-42.90873,147.33711,Waimea Heights Primary School
,Clark,Sandy Bay,43-47 Grosvenor St,,Sandy Bay,TAS,7005,,,Assistance,,-42.89916,147.3266,Wellspring Anglican Church Hall
,Clark,Cascades,59 Anglesea St,,South Hobart,TAS,7004,Hall,,Assistance,,-42.89286681,147.3099678,South Hobart Primary School
,Clark,South Hobart,34 Anglesea St,,South Hobart,TAS,7004,,,Assistance,,-42.89497,147.31223,St Francis Xavier's Church Hall
,Clark,Taroona,104 Channel Hwy,,Taroona,TAS,7053,General purpose hall,,Assistance,,-42.94294,147.35492,Taroona Primary School
,Clark,West Hobart South,Forest Rd,,West Hobart,TAS,7000,School Hall,,Assistance,,-42.88763,147.31741,Goulburn Street Primary School
,Clark,West Hobart Central,15 Gourlay St,,West Hobart,TAS,7000,GP room,,Assistance,,-42.88187,147.30889,Lansdowne Crescent Primary School
,Franklin,Adventure Bay,Adventure Bay Rd,,Adventure Bay,TAS,7150,,,None,,-43.36172,147.32839,Adventure Bay Hall
,Franklin,Alonnah,15 School Rd,,Alonnah,TAS,7150,,,Assistance,,-43.31727,147.24625,Bruny Island District School
,Franklin,Clarence,25 Wentworth St,,Bellerive,TAS,7018,ET Smith Hall - gymnasium,,Assistance,,-42.87885,147.38962,Clarence High School
,Franklin,Bellerive,10 Scott St,,Bellerive,TAS,7018,Hall area,,Assistance,,-42.87607,147.37101,Clarence Police & Community Youth Club Inc
,Franklin,Blackmans Bay,177 Roslyn Ave,,Blackmans Bay,TAS,7052,Gymnasium,Alternative access from Opal Dr,Assistance,,-42.996627,147.321846,Blackmans Bay Primary School
,Franklin,Blackmans Bay South,6 Tinderbox Rd,,Blackmans Bay,TAS,7052,General purpose room,Access from Thornton Close,Assistance,,-43.008365,147.319521,Illawarra Primary School
,Franklin,Cambridge,976 Cambridge Rd,,Cambridge,TAS,7170,Multipurpose room,,Assistance,,-42.83624,147.44195,Cambridge Primary School
,Franklin,Clarendon Vale,25 Mockridge Rd,,Clarendon Vale,TAS,7019,Hall/gymnasium,,Assistance,,-42.8864538,147.4430762,Clarendon Vale Primary School
