state,lon,division,booth_info,premises,opening_hours,polling_place_type,has_bbq,has_other,source,lat,polling_place_name,has_nothing,has_caek,address,extra_info,has_run_out,stall_name,stall_description,stall_website,first_report,latest_report
QLD,153.204657,Pumicestone,,Bribie Island Surf Lifesaving Clubhouse,,Other,FALSE,,,-27.069776,Woorim,FALSE,FALSE,"2 First Avenue, WOORIM, 4507",,,,,,,
QLD,146.60146,"Dalrymple, Thuringowa",,Progress Hall,,Hall,FALSE,,,-19.328478,Rupertswood,FALSE,FALSE,"Progress Road, RUPERTSWOOD, 4817",,,,,,,
QLD,151.268786,Condamine,,Our Lady of the Southern Cross College,,Private School,FALSE,,,-27.170421,Dalby North,FALSE,FALSE,"2 Nicholson Street, DALBY, 4405",,,,,,,
QLD,145.737365,"Cairns, Mulgrave",,Our Lady Help of Christians School,,Private School,FALSE,,,-16.94276,Earlville,FALSE,FALSE,"18 Balaclava Road, EARLVILLE, 4870",,,,,,,
QLD,151.855079,Condamine,,State School,,Government School,FALSE,,,-27.658638,Wyreema,FALSE,FALSE,"12 High Street, WYREEMA, 4352",,,,,,,
QLD,151.946347,Toowoomba North,,Holy Name School,,Private School,FALSE,,,-27.550818,Holy Name,FALSE,FALSE,"188 Bridge Street, TOOWOOMBA, 4350",,,,,,,
QLD,153.474997,"Burleigh, Currumbin",,State High School,,Government School,FALSE,,,-28.131959,Palm Beach-Currumbin,FALSE,FALSE,"Thrower Drive, PALM BEACH, 4221",,,,,,,
QLD,153.071451,Noosa,,Noosa Baptist Church Hall,,Church,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",@YaThinkN,-26.403735,Noosaville,TRUE,FALSE,"213 Weyba Road, NOOSAVILLE, 4566",,,,,,,
QLD,150.453987,"Mirani, Rockhampton",,Gracemere Community Hall,,Hall,FALSE,,,-23.437577,Gracemere East,FALSE,FALSE,"Barry Street, Gracemere, 4702",,,,,,,
QLD,152.347778,"Bundaberg, Burnett",,Anglican Parish Hall,,Church,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",Twitter,-24.867222,Bundaberg,FALSE,FALSE,"Woongarra Street, BUNDABERG CENTRAL, 4670",,,,,,,
QLD,153.376555,"Mermaid Beach, Mudgeeraba",,State School,,Government School,FALSE,,,-28.040569,Merrimac,FALSE,FALSE,"Boowaggan Road, MERRIMAC, 4226",,,,,,,
