polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Bayonet Head,117.93,O'Connor,full wheelchair access,Flinders Park Primary School,7 Sep 2013 8:00-18:00,FALSE,Yatana Rd   BAYONET HEAD WA 6330,Booth Reviews,WA,-34.9784,FALSE,TRUE,,,,,,,,,
RAMP,128.8893043,O'Connor,"unknown wheelchair access, exact latitude/longitude not provided by AEC",Eucla Community Hall,7 Sep 2013 8:00-18:00,FALSE,Yurkla Way EUCLA WA 6443,,WA,-31.677126,FALSE,FALSE,,,,,,,,,
Hallam,145.2585043,Holt,assisted wheelchair access,Hallam Primary School,7 Sep 2013 8:00-18:00,TRUE,Harmer Rd   HALLAM VIC 3803,Booth Reviews,VIC,-38.0013693,FALSE,TRUE,,,,,,,,,
Hampton Park,145.253,Holt,assisted wheelchair access,Hampton Park Primary School,7 Sep 2013 8:00-18:00,FALSE,Somerville Rd   HAMPTON PARK VIC 3976,,VIC,-38.0306,FALSE,FALSE,,,,,,,,,
Fountain Gate,145.295,Holt,assisted wheelchair access,Fountain Gate Primary School 5072,7 Sep 2013 8:00-18:00,FALSE,Prospect Hill Rd   NARRE WARREN VIC 3805,,VIC,-38.0092,FALSE,FALSE,,,,,,,,,
Hallam East,145.28158,Holt,assisted wheelchair access,Hallam Gardens Childrens Centre,8/9/13,FALSE,26-28 Nettle Drive HALLAM VIC 3803,,VIC,-38.00239,TRUE,FALSE,,,,,,,,,
Doveton,145.244,Holt,assisted wheelchair access,Doveton College,7 Sep 2013 8:00-18:00,FALSE,62 Tristania St   DOVETON VIC 3177,Booth Reviews,VIC,-37.9904,TRUE,FALSE,,,,,,,,,
Narre Warren (Holt),145.317,Holt,assisted wheelchair access,Fleetwood Primary School,7 Sep 2013 8:00-18:00,FALSE,Fleetwood Dr NARRE WARREN VIC 3805,,VIC,-38.0395,FALSE,FALSE,,,,,,,,,
Cranbourne West,145.26827,Holt,"Gymnasium, assisted wheelchair access",Cranbourne West Primary School,7 Sep 2013 8:00-18:00,FALSE,Duff Street   CRANBOURNE VIC 3977,,VIC,-38.102748,FALSE,FALSE,,,,,,,,,
Cranbourne North East,145.2893,Holt,assisted wheelchair access,Cranbourne-Carlisle Primary School,7 Sep 2013 8:00-18:00,FALSE,15 Silky Oak Dr CRANBOURNE VIC 3977,,VIC,-38.08759,FALSE,FALSE,,,,,,,,,
Hampton Park East,145.259,Holt,"Basketball stadium, assisted wheelchair access",Hampton Park Secondary College,7 Sep 2013 8:00-18:00,FALSE,Fordholm Rd   HAMPTON PARK VIC 3976,,VIC,-38.0354,FALSE,FALSE,,,,,,,,,
Hillsmeade (Holt),145.308,Holt,assisted wheelchair access,Hillsmeade Primary School,7 Sep 2013 8:00-18:00,FALSE,84 The Promenade NARRE WARREN SOUTH VIC 3805,,VIC,-38.0654,FALSE,FALSE,,,,,,,,,
Peel High,150.893,New England,assisted wheelchair access,Peel High School,7 Sep 2013 8:00-18:00,FALSE,88 Gunnedah Rd   TAMWORTH NSW 2340,,NSW,-31.1,FALSE,FALSE,,,,,,,,,
Premer,149.901,New England,assisted wheelchair access,Premer Public School,7 Sep 2013 8:00-18:00,FALSE,Ellerslie St   PREMER NSW 2381,,NSW,-31.454,FALSE,FALSE,,,,,,,,,
Quirindi,150.68,New England,no wheelchair access,Quirindi High School,7 Sep 2013 8:00-18:00,FALSE,113 HIll St   QUIRINDI NSW 2343,,NSW,-31.5018,FALSE,FALSE,,,,,,,,,
Red Range,151.8983601,New England,assisted wheelchair access,Red Range Public School,7 Sep 2013 8:00-18:00,FALSE,34 Parkes St   RED RANGE NSW 2370,,NSW,-29.7737829,FALSE,FALSE,,,,,,,,,
Niangala,151.408,New England,no wheelchair access,Niangala Public School,7 Sep 2013 8:00-18:00,FALSE,Foster St   NIANGALA NSW 2354,,NSW,-31.298,FALSE,FALSE,,,,,,,,,
Nowendoc,151.7163777,New England,no wheelchair access,Nowendoc Memorial Hall,7 Sep 2013 8:00-18:00,FALSE,870 Nowendoc Rd   NOWENDOC NSW 2354,,NSW,-31.5140323,FALSE,FALSE,,,,,,,,,
Nundle,151.127,New England,assisted wheelchair access,Nundle Public School,7 Sep 2013 8:00-18:00,FALSE,93-97 Jenkins St   NUNDLE NSW 2340,,NSW,-31.4599,FALSE,FALSE,,,,,,,,,
Oxley Vale,150.895,New England,full wheelchair access,Oxley Vale Public School,8/9/13,TRUE,Manilla Rd   OXLEY VALE NSW 2340,,NSW,-31.059,FALSE,FALSE,,,,,,,,,
Rocky River,151.4914677,New England,no wheelchair access,Rocky River Public School,7 Sep 2013 8:00-18:00,FALSE,354 Thunderbolts Way   ROCKY RIVER NSW 2358,,NSW,-30.6130803,FALSE,FALSE,,,,,,,,,
Ross Hill,151.103,New England,assisted wheelchair access,Ross Hill Public School,7 Sep 2013 8:00-18:00,FALSE,Andrew St   INVERELL NSW 2360,,NSW,-29.7708,FALSE,FALSE,,,,,,,,,
Pendle Hill (Parramatta),150.954,Parramatta,assisted wheelchair access,Pendle Hill Public School,7 Sep 2013 8:00-18:00,FALSE,27-29 Pendle Way   PENDLE HILL NSW 2145,,NSW,-33.8096,FALSE,FALSE,,,,,,,,,
Pitt Row,150.9916,Parramatta,assisted wheelchair access,Parramatta West Public School,7 Sep 2013 8:00-18:00,FALSE,Young St   PARRAMATTA NSW 2150,,NSW,-33.82482,FALSE,FALSE,,,,,,,,,
Mena Creek,145.956,Kennedy,assisted wheelchair access,Mena Creek State School,7 Sep 2013 8:00-18:00,FALSE,Mena Creek Rd   MENA CREEK QLD 4871,,QLD,-17.6548,FALSE,FALSE,,,,,,,,,
South Perth,115.8597381,Swan,no wheelchair access,South Perth Primary School,7 Sep 2013 8:00-18:00,FALSE,Forrest St   SOUTH PERTH WA 6151,Booth Reviews,WA,-31.9813194,TRUE,FALSE,,,,,,,,,
Rowland Hassall,151.011,Parramatta,assisted wheelchair access,Rowland Hassall School,7 Sep 2013 8:00-18:00,FALSE,Hassall St   PARRAMATTA NSW 2150,,NSW,-33.8175,FALSE,FALSE,,,,,,,,,
Blackheath,150.286,Macquarie,assisted wheelchair access,Blackheath Public School,7 Sep 2013 8:00-18:00,FALSE,Leichhardt St   BLACKHEATH NSW 2785,,NSW,-33.6392,FALSE,FALSE,,,,,,,,,
Bilpin,150.5122648,Macquarie,assisted wheelchair access,Bilpin District Hall,7 Sep 2013 8:00-18:00,FALSE,2580 Bells Line of Road BILPIN NSW 2758,,NSW,-33.4979864,FALSE,FALSE,,,,,,,,,
Rosehill,151.019,Parramatta,assisted wheelchair access,Rosehill Public School,7 Sep 2013 8:00-18:00,FALSE,Prospect St   ROSEHILL NSW 2142,,NSW,-33.8243,FALSE,FALSE,,,,,,,,,
Brisbane City (Dawson),153.02599,Dawson,assisted wheelchair access,80 George St,7 Sep 2013 8:00-18:00,FALSE,80 George St BRISBANE CITY QLD 4000,,QLD,-27.473419,FALSE,FALSE,,,,,,,,,
Walkerston,149.069,Capricornia,"K Block Classroom, assisted wheelchair access",Walkerston State School,7 Sep 2013 8:00-18:00,FALSE,Dutton St   WALKERSTON QLD 4751,,QLD,-21.1616,FALSE,FALSE,,,,,,,,,
Horseshoe Creek,153.03,Page,assisted wheelchair access,Horseshoe Creek-Green Pigeon Hall,7 Sep 2013 8:00-18:00,FALSE,Green Pigeon Rd HORSESHOE CREEK NSW 2474,,NSW,-28.5357,FALSE,FALSE,,,,,,,,,
Harwood Island,153.2400612,Page,assisted wheelchair access,Harwood Island Public School,7 Sep 2013 8:00-18:00,FALSE,11 Morpeth St   HARWOOD ISLAND NSW 2465,,NSW,-29.4255402,FALSE,FALSE,,,,,,,,,
Sydney (Mackellar),151.207,Mackellar,assisted wheelchair access,Sydney Town Hall,7 Sep 2013 8:00-18:00,FALSE,George St   SYDNEY NSW 2000,,NSW,-33.8735,FALSE,FALSE,,,,,,,,,
Dee Why Central (Mackellar),151.29,Mackellar,"Upper Hall, assisted wheelchair access",St Kevins Church Hall,7 Sep 2013 8:00-18:00,FALSE,57-59 Oaks Ave   DEE WHY NSW 2099,,NSW,-33.7543,FALSE,FALSE,,,,,,,,,
Terrey Hills,151.223182,Mackellar,assisted wheelchair access,Terrey Hills Public School,7 Sep 2013 8:00-18:00,FALSE,Cooyong Rd   TERREY HILLS NSW 2084,,NSW,-33.6853625,FALSE,FALSE,,,,,,,,,
Rockhampton Central,150.506,Capricornia,"Classroom, assisted wheelchair access",The Cathedral College 1,7 Sep 2013 8:00-18:00,FALSE,189 William St   ALLENSTOWN QLD 4700,,QLD,-23.3868,FALSE,FALSE,,,,,,,,,
Westlawn,152.9213053,Page,no wheelchair access,Grafton Art Club Centre,7 Sep 2013 8:00-18:00,FALSE,cnr Dobie & Howe Sts   GRAFTON NSW 2460,,NSW,-29.6714239,FALSE,FALSE,,,,,,,,,
Forest,151.231,Mackellar,assisted wheelchair access,The Forest High School,7 Sep 2013 8:00-18:00,FALSE,Frenchs Forest Rd W   FRENCHS FOREST NSW 2086,,NSW,-33.7499,FALSE,FALSE,,,,,,,,,
Richmond PPVC,150.7504223,Macquarie,assisted wheelchair access,120A Francis St,7 Sep 2013 8:00-18:00,FALSE,120A Francis St RICHMOND NSW 2753,,NSW,-33.5948055,FALSE,FALSE,,,,,,,,,
Wheeler Heights,151.2861959,Mackellar,full wheelchair access,Wheeler Heights Public School,7 Sep 2013 8:00-18:00,FALSE,36 Veterans Pde   WHEELER HEIGHTS NSW 2097,Booth Reviews,NSW,-33.7280915,FALSE,FALSE,,,,,,,,,
Parramatta Central,151.004,Parramatta,assisted wheelchair access,Parramatta Town Hall,8/9/13,FALSE,182 Church St   PARRAMATTA NSW 2150,,NSW,-33.8159,TRUE,FALSE,,,,,,,,,
Bentley West,115.902,Swan,no wheelchair access,South Bentley Community Centre,7 Sep 2013 8:00-18:00,FALSE,Hillview Pl   BENTLEY WA 6102,,WA,-32.0097,FALSE,FALSE,,,,,,,,,
