Polling Location Name,Venue Name,Type,Electorate 1,Electorate 2,Property Name,Flat Number,Street Number,Street Name,Street Type,Locality,Postcode,Melway/Vicroads Ref,Longitude,Latitude
Birregurra,Birregurra Community Health Centre,Voting Centre,Polwarth District,,,,28-30,Strachan,Street,Birregurra,3242,521 N8,143.786163850116,-38.3362795165534
Carpendeit,Carpendeit Public Hall,Voting Centre,Polwarth District,,,,corner,Ansons and Carpendeit-Bungador,Roads,Carpendeit,3260,91 E7,143.241734,-38.369947
Cororooke,Cororooke Public Hall,Voting Centre,Polwarth District,,,,580,Corangamite Lake,Road,Cororooke,3254,92 A6,143.522145,-38.284129
Cressy,Cressy Hall,Voting Centre,Polwarth District,,,,,Yarima,Road,Cressy,3322,518 H10,143.633982,-38.030401
Derrinallum,Derrinallum Community Hall,Voting Centre,Polwarth District,,,,,Main,Street,Derrinallum,3325,76 E7,143.216808000104,-37.948275999879
Ecklin,Ecklin Hall,Voting Centre,Polwarth District,,,,143,Timboon-Terang,Road,Ecklin South,3265,90 G8,142.912506000098,-38.3801499998876
Forrest,Forrest Public Hall,Voting Centre,Polwarth District,,,,14,Grant,Street,Forrest,3236,518 H5,143.714588283448,-38.5168062498903
Gellibrand River,Gellibrand Hall,Voting Centre,Polwarth District,,,,,Colac-Lavers Hill,Road,Gellibrand,3239,101A2,143.537978775111,-38.5202962748904
Irrewillipe East,Irrewillipe Public Hall,Voting Centre,Polwarth District,,,,2480,Irrewillipe,Road,Irrewillipe,3249,91 J8,143.441393016775,-38.4108221498882
Lorne,Lorne Senior Citizens Centre,Voting Centre,Polwarth District,,,,,Mountjoy,Parade,Lorne,3232,518 F7,143.972924000119,-38.5367699998907
Mortlake,Mortlake Soldiers Memorial Hall,Voting Centre,Polwarth District,,,,,Shaw,Street,Mortlake,3272,528 G9,142.81015260843,-38.0796071665483
Nullawarre,Nullawarre Public Hall,Voting Centre,Polwarth District,,,,2184,Timboon-Nullawarre,Road,Nullawarre,3268,90 G5,142.754706,-38.469612
Scotts Creek,Scotts Creek Public Hall,Voting Centre,Polwarth District,,,,,Cobden-Port Campbell,Road,Scotts Creek,3267,91 B9,143.049569391768,-38.449592674889
Fyansford,Stonehaven CFA Fire Station,Voting Centre,Polwarth District,,,,corner,Dog Rocks and Fyansford-Gheringhap,Roads,Fyansford,3221,440 A6,144.265012366792,-38.1130955582156
Warrion,Warrion Public Hall,Voting Centre,Polwarth District,,,,,Coragulac-Beeac,Road,Warrion,3249,92 B5,143.572071,-38.222087
Winchelsea,Winchelsea Senior Citizens Centre,Voting Centre,Polwarth District,,,,36,Harding,Street,Winchelsea,3142,92 H5,143.99269800012,-38.2410069998848
Winchelsea South,Wurdale Hall,Voting Centre,Polwarth District,,,,220,Wurdale,Road,Winchelsea South,3241,93 B7,144.012081583454,-38.314455266553
Amphitheatre,Amphitheatre Mechanics Institute,Voting Centre,Ripon District,,,,77,Bailey,Street,Amphitheatre,3468,57 H4,143.399434000108,-37.1828489998637
Anglesea,Anglesea Memorial Hall,Voting Centre,Polwarth District,,,,,McMillan,Street,Anglesea,3230,514 E7,144.184967533457,-38.4095508915549
Ararat West,Ararat College,Voting Centre,Ripon District,,,,4-30,Barkly,Street,Ararat,3377,554 D8,142.92196,-37.286
Ararat,Ararat Senior Citizens Clubrooms,Voting Centre,Ripon District,,,,,High,Street,Ararat,3377,554 E8,142.932455700099,-37.2829207748657
Ascot,Ascot Hall,Voting Centre,Ripon District,,,,47,Ascot Hall,Road,Ascot,3364,58 E8,143.798997141783,-37.3960162915346
Avoca,Avoca RSL Hall,Voting Centre,Ripon District,,,,157,High,Street,Avoca,3467,57J3,143.472470000109,-37.0850489998617
Beaufort,Beeripmo Development Centre,Voting Centre,Ripon District,,,,1,Lawrence,Street,Beaufort,3373,556 H9,143.384176,-37.42801
Bowenvale,Bowenvale Public Hall,Voting Centre,Ripon District,,,,,Timor,Road,Bowenvale,3465,43 D9,143.710209000114,-36.9893689998598
Bridgewater,Bridgewater Hall,Voting Centre,Ripon District,,,,37,Eldon,Street,Bridgewater On Loddon,3516,594D10,143.944774,-36.603
Donald,Donald Senior Citizens Centre,Voting Centre,Ripon District,,,,4,Hammill,Street,Donald,3527,27 H7,142.981723583433,-36.3688736081807
Elmhurst,Elmhurst Mechanics Hall,Voting Centre,Ripon District,,,,,High,Street,Elmhurst,3469,570000,143.250439191772,-37.1798752665303
Glenorchy,Glenorchy Memorial Hall,Voting Centre,Ripon District,,,,29,Forest,Street,Glenorchy,3385,41C8,142.662201,-36.907925
Maryborough East,Highview College,Voting Centre,Ripon District,,,,21,Kars Street (access via Burns,Street),Maryborough,3465,558 D8,143.736091516781,-37.0534573831944
Landsborough,Landsborough Public Hall,Voting Centre,Ripon District,,,,29,Burke,Street,Landsborough,3384,57 D2,143.133947341769,-37.0089407081935
Lexton,Lexton Community Centre,Voting Centre,Ripon District,,,,1,Goldsmith,Street,Lexton,3352,557 N3,143.51432400011,-37.2749769998655
Litchfield,Litchfield Hall,Voting Centre,Ripon District,,,,18,Main,Street,Litchfield,3480,27 F6,142.847425000097,-36.298254999846
Maryborough,Maryborough Town Hall,Voting Centre,Ripon District,,,,71,Clarendon,Street,Maryborough,3465,558 C7,143.737048000115,-37.0460809998609
Newbridge,Newbridge Public Hall,Voting Centre,Ripon District,,,,38,Burke,Street,Newbridge,3551,43 G5,143.900191,-36.740659
