ec_id,name,premises,address,lat,lon,divisions,state,wheelchair_access
,Spalding Family Centre,,"75 Mitchell Street, SPALDING WA 6530",-28.74152000,114.62996100,Geraldton,WA,Full
,Waggrakine Primary School,,"9 Hall Road, WAGGRAKINE WA 6530",-28.71826400,114.63750300,Geraldton,WA,Full
,Walkaway Primary School,,"8 Evans Road, WALKAWAY WA 6528",-28.93975200,114.79922200,Geraldton,WA,None
,Wandina Primary School,,"29 Ajax Drive, WANDINA WA 6530",-28.81693300,114.63564900,Geraldton,WA,Full
,Alexander Heights Community Hall,,"18 Linto Way, ALEXANDER HEIGHTS WA 6064",-31.82852900,115.85360100,Girrawheen,WA,None
,Alinjarra Primary School,,"33 Northumberland Avenue, ALEXANDER HEIGHTS WA 6064",-31.83007400,115.87032200,Girrawheen,WA,None
,Balga Primary School,,"11 Fernhurst Crescent, BALGA WA 6061",-31.86099000,115.84478000,Girrawheen,WA,None
,Boyare Primary School,,"9 Threadleaf Way, MIRRABOOKA WA 6061",-31.85771000,115.87345700,Girrawheen,WA,None
,Hudson Park Primary School,,"23 Arnos Way, GIRRAWHEEN WA 6064",-31.83985000,115.83706000,Girrawheen,WA,Full
,Koondoola Primary School,,"50 Burbridge Avenue, KOONDOOLA WA 6064",-31.83790200,115.86236100,Girrawheen,WA,None
,North Balga Primary School,,"30 Maitland Road, BALGA WA 6061",-31.85243000,115.83413000,Girrawheen,WA,None
,Rawlinson Primary School,,"27 Rawlinson Drive, MARANGAROO WA 6064",-31.82784000,115.84409000,Girrawheen,WA,Full
,Roseworth Primary School,,"30 Stebbing Way, GIRRAWHEEN WA 6064",-31.84076000,115.85322000,Girrawheen,WA,Full
,The Hepburn Centre,,"46 Highclere Boulevard, MARANGAROO WA 6064",-31.83060100,115.83952500,Girrawheen,WA,Full
,Beldon Primary School,,"10 Pacific Way, BELDON WA 6027",-31.77422000,115.75742000,Hillarys,WA,None
,Craigie Heights Primary School,,"47 Spinaway Street, CRAIGIE WA 6025",-31.78955000,115.76075000,Hillarys,WA,None
,Flinders Park Community Hall,,"Broadbeach Boulevard, HILLARYS WA 6025",-31.80818500,115.73650000,Hillarys,WA,Full
,Hillarys Primary School,,"75 Lymburner Drive, HILLARYS WA 6025",-31.81260300,115.75286000,Hillarys,WA,Full
,Mullaloo Heights Primary School,,"27 Charonia Road, MULLALOO WA 6027",-31.77744000,115.74872000,Hillarys,WA,None
,Ocean Reef Senior High School,,"21 Venturi Drive, OCEAN REEF WA 6027",-31.75974000,115.73890000,Hillarys,WA,Full
,Padbury Primary School,,"MacDonald Avenue, PADBURY WA 6025",-31.80478000,115.76064000,Hillarys,WA,Full
,Rob Baddock Community Hall,,"160 Dampier Avenue, KALLAROO WA 6025",-31.786179,115.743752,Hillarys,WA,Full
,St Mark's Anglican Community School,,"20 St Marks Drive, HILLARYS WA 6025",-31.79848700,115.74287300,Hillarys,WA,None
,Atwell Primary School,,"160 Lydon Boulevard, ATWELL WA 6164",-32.13562000,115.86853000,Jandakot,WA,Full
,Banksia Park Primary School,,"2 Hicks Street, LEEMING WA 6149",-32.07211000,115.87495000,Jandakot,WA,Full
,Canning Vale Primary School,,"The Ramble , CANNING VALE WA 6155",-32.07606000,115.91252000,Jandakot,WA,None
,Harmony Primary School,,"60 Aurora Drive, ATWELL WA 6164",-32.15076000,115.86484000,Jandakot,WA,Full
,Jandakot District - Election Day and Early Polling Place,,"1/10 Chifley Brace, JANDAKOT WA 6164",-32.1211176,115.8672708,Jandakot,WA,None
,Leeming Primary School,,"10 Meharry Road, LEEMING WA 6149",-32.07605000,115.86302000,Jandakot,WA,None
,Ranford Primary School,,"10 Orkney Crescent, CANNING VALE WA 6155",-32.09374800,115.91089100,Jandakot,WA,Full
,Treeby Primary School,,"15 Sapphire Drive, TREEBY WA 6164",-32.1178889241172,115.88077117654,Jandakot,WA,Full
,West Leeming Primary School,,"50 Westall Terrace, LEEMING WA 6149",-32.07039000,115.85615000,Jandakot,WA,None
,Beaumaris Community Centre,,"66 Constellation Drive, OCEAN REEF WA 6027",-31.75107700,115.73482100,Joondalup,WA,Full
,Burns Beach Primary School,,"10 Watcombe Avenue, BURNS BEACH WA 6028",-31.72707138,115.7293128,Joondalup,WA,Full
,Connolly Primary School,,"169 Fairway Circle, CONNOLLY WA 6027",-31.74707000,115.75788000,Joondalup,WA,None
,Currambine Primary School,,"28 Ambassador Drive, CURRAMBINE WA 6028",-31.73304000,115.74892000,Joondalup,WA,Full
,Eddystone Primary School,,"Littorina Avenue, HEATHRIDGE WA 6027",-31.76668000,115.76863000,Joondalup,WA,Full
,Edgewater Primary School,,"76 Treetop Avenue, EDGEWATER WA 6027",-31.76341000,115.78043000,Joondalup,WA,None
,Joondalup Primary School,,"150 Blue Mountain Drive, JOONDALUP WA 6027",-31.72328000,115.76142400,Joondalup,WA,Full
,Joondalup Public Library,,"102 Boas Avenue, JOONDALUP WA 6027",-31.74360000,115.77342000,Joondalup,WA,None
,Poseidon Primary School,,"97 Poseidon Road, HEATHRIDGE WA 6027",-31.76099000,115.75188000,Joondalup,WA,Full
,Chidlow Primary School,,"450 Lilydale Road, CHIDLOW WA 6556",-31.85702000,116.26828000,Kalamunda,WA,Full
,Churches of Christ in WA,,"1470 Stoneville Road, MUNDARING WA 6073",-31.88377600,116.17149000,Kalamunda,WA,Full
,Darlington Hall,,"Owen Road, DARLINGTON WA 6070",-31.91812800,116.07475300,Kalamunda,WA,Full
,Falls Road Primary School,,"50 Falls Road, LESMURDIE WA 6076",-31.99247400,116.04769900,Kalamunda,WA,Full
,Glen Forrest Primary School,,"34 Tillbrook Street, GLEN FORREST WA 6071",-31.91555700,116.10089800,Kalamunda,WA,Full
,Kalamunda Primary School,,"32 Heath Road, KALAMUNDA WA 6076",-31.97140000,116.05147000,Kalamunda,WA,Full
,Lesmurdie Primary School,,"49 Sanderson Road, LESMURDIE WA 6076",-32.00445700,116.04572200,Kalamunda,WA,None
,Mahogany Creek Hall,,"3060 Strettle Road, MAHOGANY CREEK WA 6072",-31.90624700,116.13755600,Kalamunda,WA,Full
,Mount Helena Recreation Centre,,"Lot 289 Keane Street East , MT HELENA WA 6082",-31.87529600,116.22059700,Kalamunda,WA,Full
,Mundaring Hall,,"Corner Jacoby Street and Nichol Street , MUNDARING WA 6073",-31.90330800,116.16549300,Kalamunda,WA,Full
,Mundaring Primary School,,"855 Stevens Street, MUNDARING WA 6073",-31.89503600,116.17233300,Kalamunda,WA,Full
,Parkerville Primary School,,"16 Parker Road, PARKERVILLE WA 6081",-31.88329900,116.13308400,Kalamunda,WA,Full
