name,premises,address,lat,lon,state,wheelchair_access
Chapel Hill,Chapel Hill State School,"20 Ironbark Road, CHAPEL HILL, QLD Australia 4069",-27.49932612,152.94484735,QLD,Full Access
Chapel Hill South,Chapel Hill Uniting Church,"Cnr Moggill & Chapel Hill Roads, CHAPEL HILL, QLD Australia 4069",-27.507734,152.953247,QLD,Full Access
Charleville,Charleville Town Hall,"Wills Street, Charleville, QLD Australia 4470",-26.40321205,146.24089926,QLD,Full Access
Wellcamp,Wellcamp State School Community Hall,"609 Drayton-Wellcamp Road, WELLCAMP, QLD Australia 4350",-27.554035,151.850813,QLD,Full Access
Charters Towers,Charters Towers Regional Council Chambers,"12-14 Mosman Street, CHARTERS TOWERS, QLD Australia 4820",-20.072551999999998,146.257885,QLD,Assisted Access
Charters Towers Central,Charters Towers Central State School,"39-47 High Street, CHARTERS TOWERS, QLD Australia 4820",-20.079750999999998,146.263856,QLD,Full Access
Charters Towers East,Goldfields Cricket Club,"12 York Street, CHARTERS TOWERS, QLD Australia 4820",-20.08011713,146.2703848,QLD,Assisted Access
Charters Towers North,Richmond Hill State School,"36-42 Baker Street, CHARTERS TOWERS, QLD Australia 4820",-20.061888,146.264241,QLD,Full Access
Chatswood Hills,Chatswood Hills State School,"21-35 Raleigh Street, SPRINGWOOD, QLD Australia 4127",-27.628303,153.138044,QLD,Assisted Access
Chatsworth,Chatsworth State School,"15 Rammutt Road, CHATSWORTH, QLD Australia 4570",-26.14261944,152.61505365,QLD,Assisted Access
Chelmer,Milpera State High School,"2 Parker Street, CHELMER, QLD Australia 4068",-27.51350978,152.97728062,QLD,Full Access
